已知结果来源	样本编号	已知结果	质控结果	原始数据量	质控合格比例	预测性别	检出病原体	read	rpk	过滤标志	已知结果rpk	扩增子覆盖度	扩增子	扩增子read	扩增子rpk	扩增子rate	最佳比对率	anaid	体系	runid
培养物	CMV-1-15000-V3-1-test8	巨细胞病毒(CMV)|15000	合格	128843	0.07	未知	铜绿假单胞菌|报	35	27	滤	15000	'1/2	pTGM082	35	27	2.077	0.987;1.00	R230829-S061	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	CMV-2-15000-V3-1-test8	巨细胞病毒(CMV)|15000	合格	82009	0.07	未知	三叶草根瘤菌|报	429	523	内参	15000	'1/1	IC_RL2_2	429	523	1	0.987;1.00	R230829-S062	test8	T1-230829_TPMN00204_0132_A000H5MMF3
四川金域核酸	CNS23tNGS0269-D	日本乙型脑炎病毒	内参不合格	137847	0.3	未知	无	0	0	na	0	na	na	0	0	0	na	R230829-S153	D	T1-230829_TPMN00204_0132_A000H5MMF3
四川金域核酸	CNS23tNGS0269-V3-1-test8	日本乙型脑炎病毒	内参不合格	80479	0.09	未知	无	0	0	na	0	na	na	0	0	0	na	R230829-S154	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	COVID-1-1000-V3-1-test8	新型冠状病毒|1000	合格	182201	0.14	男性(可能扩增不平衡)	三叶草根瘤菌|报	82	45	内参	1000	'1/1	IC_RL2_2	82	45	1	0.974;1.00	R230829-S114	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	COVID-1-1000-V3-1-test8	新型冠状病毒|1000	合格	182201	0.14	男性(可能扩增不平衡)	人内参ZFY|报	24	13	内参	1000	'1/1	gTGM008	24	13	1	1.000;1.00	R230829-S114	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	COVID-1-1000-V3-1-test8	新型冠状病毒|1000	合格	182201	0.14	男性(可能扩增不平衡)	新型冠状病毒|漏	0	0	na	1000	na	na	0	0	0	na	R230829-S114	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	COVID-1-1000-V3-1-test8	新型冠状病毒|1000	合格	182201	0.14	男性(可能扩增不平衡)	鲍曼不动杆菌|报	343	187	弱阳	1000	'3/3	jTGM065	127	69	1.113	1.000;1.00	R230829-S114	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	COVID-1-1000-V3-1-test8	新型冠状病毒|1000	合格	182201	0.14	男性(可能扩增不平衡)	鲍曼不动杆菌|报	343	187	弱阳	1000	'3/3	nTGM001	92	50	0.806	1.000;1.00	R230829-S114	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	COVID-1-1000-V3-1-test8	新型冠状病毒|1000	合格	182201	0.14	男性(可能扩增不平衡)	鲍曼不动杆菌|报	343	187	弱阳	1000	'3/3	pTGM010	124	68	1.097	0.987;1.00	R230829-S114	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	COVID-1-2000-V3-1-test8	新型冠状病毒|2000	内参不合格	143175	0.07	未知	无	0	0	na	2000	na	na	0	0	0	na	R230829-S113	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	COVID-2-1000-V3-1-test8	新型冠状病毒|1000	内参不合格	102144	0.08	未知	人内参ZFX|报	7	6	内参	1000	'1/1	gTGM008	7	6	1	1.000;1.00	R230829-S116	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	COVID-2-1000-V3-1-test8	新型冠状病毒|1000	内参不合格	102144	0.08	未知	库德里阿兹威毕赤酵母（克柔念珠菌）|报	5	4	滤	1000	'1/1	jTGM092	5	4	1	0.987;1.00	R230829-S116	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	COVID-2-1000-V3-1-test8	新型冠状病毒|1000	内参不合格	102144	0.08	未知	新型冠状病毒|漏	0	0	na	1000	na	na	0	0	0	na	R230829-S116	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	COVID-2-2000-V3-1-test8	新型冠状病毒|2000	内参不合格	97701	0.06	未知	无	0	0	na	2000	na	na	0	0	0	na	R230829-S115	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	COVID-3-1000-V3-1-test8	新型冠状病毒|1000	内参不合格	102010	0.06	未知	无	0	0	na	1000	na	na	0	0	0	na	R230829-S118	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	COVID-3-2000-V3-1-test8	新型冠状病毒|2000	内参不合格	163082	0.19	未知	新型冠状病毒|漏	0	0	na	2000	na	na	0	0	0	na	R230829-S117	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	COVID-3-2000-V3-1-test8	新型冠状病毒|2000	内参不合格	163082	0.19	未知	烟曲霉|报	24	14	弱阳	2000	'1/1	RTGM168	24	14	1	1.000;1.00	R230829-S117	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	COVID-4-1000-V3-1-test8	新型冠状病毒|1000	内参不合格	90256	0.08	未知	新型冠状病毒|漏	0	0	na	1000	na	na	0	0	0	na	R230829-S120	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	COVID-4-1000-V3-1-test8	新型冠状病毒|1000	内参不合格	90256	0.08	未知	烟曲霉|报	36	39	弱阳	1000	'1/1	RTGM168	36	39	1	1.000;1.00	R230829-S120	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	COVID-4-2000-V3-1-test8	新型冠状病毒|2000	内参不合格	107369	0.06	未知	无	0	0	na	2000	na	na	0	0	0	na	R230829-S119	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	CQ-1-2000-V3-1-test8	产气荚膜梭菌|2000	合格	141701	0.07	未知	三叶草根瘤菌|报	1294	913	内参	2000	'1/1	IC_RL2_2	1294	913	1	0.987;1.00	R230829-S083	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	CQ-1-2000-V3-1-test8	产气荚膜梭菌|2000	合格	141701	0.07	未知	产气荚膜梭菌|报	210	148	弱阳	2000	'1/1	xTGM139	210	148	1	1.000;1.00	R230829-S083	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	CQ-1-2000-V3-1-test8	产气荚膜梭菌|2000	合格	141701	0.07	未知	白念珠菌|报	141	99	弱阳	2000	'1/1	ITGM041	141	99	1	0.974;1.00	R230829-S083	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	CQ-2-2000-V3-1-test8	产气荚膜梭菌|2000	合格	105697	0.1	未知	三叶草根瘤菌|报	1195	1130	内参	2000	'1/1	IC_RL2_2	1195	1130	1	0.987;1.00	R230829-S084	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	CQ-2-2000-V3-1-test8	产气荚膜梭菌|2000	合格	105697	0.1	未知	产气荚膜梭菌|报	77	72	弱阳	2000	'1/1	xTGM139	77	72	1	1.000;1.00	R230829-S084	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	CQ-2-2000-V3-1-test8	产气荚膜梭菌|2000	合格	105697	0.1	未知	白念珠菌|报	23	21	弱阳	2000	'1/1	ITGM041	23	21	1	0.974;1.00	R230829-S084	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	EBV-B1-2500-1-V3-1-test8	EB病毒(EBV)|2500	合格	140511	0.07	未知	三叶草根瘤菌|报	313	222	内参	2500	'1/1	IC_RL2_2	313	222	1	0.987;1.00	R230829-S099	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	EBV-B1-2500-2-V3-1-test8	EB病毒(EBV)|2500	合格	84351	0.07	未知	三叶草根瘤菌|报	292	346	内参	2500	'1/1	IC_RL2_2	292	346	1	0.987;1.00	R230829-S123	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	EBV-B2-2500-1-V3-1-test8	EB病毒(EBV)|2500	合格	112901	0.06	未知	EB病毒(EBV)|报	149	131	弱阳	2500	'1/2	gTGM044	149	131	2.015	1.000;1.00	R230829-S100	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	EBV-B2-2500-1-V3-1-test8	EB病毒(EBV)|2500	合格	112901	0.06	未知	EB病毒(EBV)|报	149	131	弱阳	2500	'1/2	pTGM003	0	0	0		R230829-S100	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	EBV-B2-2500-1-V3-1-test8	EB病毒(EBV)|2500	合格	112901	0.06	未知	三叶草根瘤菌|报	975	863	内参	2500	'1/1	IC_RL2_2	975	863	1	0.987;1.00	R230829-S100	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	EBV-B2-2500-2-V3-1-test8	EB病毒(EBV)|2500	合格	94563	0.09	未知	EB病毒(EBV)|报	383	404	阳性	2500	'2/2	gTGM044	190	200	0.99	1.000;1.00	R230829-S124	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	EBV-B2-2500-2-V3-1-test8	EB病毒(EBV)|2500	合格	94563	0.09	未知	EB病毒(EBV)|报	383	404	阳性	2500	'2/2	pTGM003	193	204	1.01	1.000;1.00	R230829-S124	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	EBV-B2-2500-2-V3-1-test8	EB病毒(EBV)|2500	合格	94563	0.09	未知	三叶草根瘤菌|报	774	818	内参	2500	'1/1	IC_RL2_2	774	818	1	0.987;1.00	R230829-S124	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HQ-1-500-V3-1-test8	黄曲霉|500	合格	106351	0.1	男性(可能扩增不平衡)	三叶草根瘤菌|报	1482	1393	内参	500	'1/1	IC_RL2_2	1482	1393	1	0.987;1.00	R230829-S071	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HQ-1-500-V3-1-test8	黄曲霉|500	合格	106351	0.1	男性(可能扩增不平衡)	人内参ZFY|报	21	19	内参	500	'1/1	gTGM008	21	19	1	1.000;1.00	R230829-S071	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HQ-1-500-V3-1-test8	黄曲霉|500	合格	106351	0.1	男性(可能扩增不平衡)	黄曲霉复合群|报	2112	1985	阳性	500	'1/1	RTGM032-1	2112	1985	1	1.000;1.00	R230829-S071	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HQ-2-500-V3-1-test8	黄曲霉|500	合格	114486	0.1	未知	三叶草根瘤菌|报	1641	1433	内参	500	'1/1	IC_RL2_2	1641	1433	1	0.987;1.00	R230829-S072	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HQ-2-500-V3-1-test8	黄曲霉|500	合格	114486	0.1	未知	黄曲霉复合群|报	1916	1673	阳性	500	'1/1	RTGM032-1	1916	1673	1	1.000;1.00	R230829-S072	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HSV2-1-15000-V3-1-test8	单纯疱疹病毒2型(HSV-2)|15000	合格	97732	0.08	未知	三叶草根瘤菌|报	573	586	内参	15000	'1/1	IC_RL2_2	573	586	1	0.987;1.00	R230829-S057	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HSV2-1-15000-V3-1-test8	单纯疱疹病毒2型(HSV-2)|15000	合格	97732	0.08	未知	单纯疱疹病毒2型(HSV-2)|报	159	162	弱阳	15000	'1/2	pTGM109	0	0	0		R230829-S057	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HSV2-1-15000-V3-1-test8	单纯疱疹病毒2型(HSV-2)|15000	合格	97732	0.08	未知	单纯疱疹病毒2型(HSV-2)|报	159	162	弱阳	15000	'1/2	xTGM077	159	162	2	1.000;1.00	R230829-S057	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HSV2-2-15000-V3-1-test8	单纯疱疹病毒2型(HSV-2)|15000	合格	156229	0.07	未知	三叶草根瘤菌|报	819	524	内参	15000	'1/1	IC_RL2_2	819	524	1	0.987;1.00	R230829-S058	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HSV2B-A1-500-1-V3-1-test8	单纯疱疹病毒2型(HSV-2)|500	合格	55053	0.1	未知	三叶草根瘤菌|报	136	247	内参	500	'1/1	IC_RL2_2	136	247	1	0.987;1.00	R230829-S097	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HSV2B-A1-500-1-V3-1-test8	单纯疱疹病毒2型(HSV-2)|500	合格	55053	0.1	未知	嗜麦芽窄食单胞菌|报	72	130	弱阳	500	'1/2	RTGM164	0	0	0		R230829-S097	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HSV2B-A1-500-1-V3-1-test8	单纯疱疹病毒2型(HSV-2)|500	合格	55053	0.1	未知	嗜麦芽窄食单胞菌|报	72	130	弱阳	500	'1/2	RTGM165	72	130	2	1.000;1.00	R230829-S097	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HSV2B-A1-500-2-V3-1-test8	单纯疱疹病毒2型(HSV-2)|500	合格	80703	0.07	未知	三叶草根瘤菌|报	108	133	内参	500	'1/1	IC_RL2_2	108	133	1	0.987;1.00	R230829-S121	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HSV2B-A1-500-2-V3-1-test8	单纯疱疹病毒2型(HSV-2)|500	合格	80703	0.07	未知	嗜麦芽窄食单胞菌|报	138	170	弱阳	500	'1/2	RTGM164	0	0	0		R230829-S121	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HSV2B-A1-500-2-V3-1-test8	单纯疱疹病毒2型(HSV-2)|500	合格	80703	0.07	未知	嗜麦芽窄食单胞菌|报	138	170	弱阳	500	'1/2	RTGM165	138	170	2	1.000;1.00	R230829-S121	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HSV2B-A1-500-2-V3-1-test8	单纯疱疹病毒2型(HSV-2)|500	合格	80703	0.07	未知	烟曲霉|报	95	117	弱阳	500	'1/1	RTGM168	95	117	1	1.000;1.00	R230829-S121	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HSV2B-A1-500-2-V3-1-test8	单纯疱疹病毒2型(HSV-2)|500	合格	80703	0.07	未知	白念珠菌|报	39	48	弱阳	500	'1/1	ITGM041	39	48	1	0.974;1.00	R230829-S121	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HSV2B-A1-500-2-V3-1-test8	单纯疱疹病毒2型(HSV-2)|500	合格	80703	0.07	未知	铜绿假单胞菌|报	26	32	弱阳	500	'1/2	pTGM081	0	0	0		R230829-S121	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HSV2B-A1-500-2-V3-1-test8	单纯疱疹病毒2型(HSV-2)|500	合格	80703	0.07	未知	铜绿假单胞菌|报	26	32	弱阳	500	'1/2	pTGM082	26	32	2	1.000;1.00	R230829-S121	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HSV2B-A2-500-1-V3-1-test8	单纯疱疹病毒2型(HSV-2)|500	合格	114672	0.09	未知	三叶草根瘤菌|报	193	168	内参	500	'1/1	IC_RL2_2	193	168	1	0.987;1.00	R230829-S098	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HSV2B-A2-500-1-V3-1-test8	单纯疱疹病毒2型(HSV-2)|500	合格	114672	0.09	未知	单纯疱疹病毒2型(HSV-2)|报	371	323	阳性	500	'1/2	pTGM109	0	0	0		R230829-S098	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HSV2B-A2-500-1-V3-1-test8	单纯疱疹病毒2型(HSV-2)|500	合格	114672	0.09	未知	单纯疱疹病毒2型(HSV-2)|报	371	323	阳性	500	'1/2	xTGM077	371	323	2.006	1.000;1.00	R230829-S098	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HSV2B-A2-500-2-V3-1-test8	单纯疱疹病毒2型(HSV-2)|500	合格	125681	0.11	未知	三叶草根瘤菌|报	210	167	内参	500	'1/1	IC_RL2_2	210	167	1	0.987;1.00	R230829-S122	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HSV2B-A2-500-2-V3-1-test8	单纯疱疹病毒2型(HSV-2)|500	合格	125681	0.11	未知	嗜麦芽窄食单胞菌|报	151	120	弱阳	500	'1/2	RTGM164	0	0	0		R230829-S122	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HSV2B-A2-500-2-V3-1-test8	单纯疱疹病毒2型(HSV-2)|500	合格	125681	0.11	未知	嗜麦芽窄食单胞菌|报	151	120	弱阳	500	'1/2	RTGM165	151	120	2	1.000;1.00	R230829-S122	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HeiQ-1-4000-V3-1-test8	黑曲霉|4000	合格	115416	0.14	未知	三叶草根瘤菌|报	810	701	内参	4000	'1/1	IC_RL2_2	810	701	1	0.987;1.00	R230829-S075	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HeiQ-1-4000-V3-1-test8	黑曲霉|4000	合格	115416	0.14	未知	甲型流感病毒|报	2	1	滤	4000	'1/2	dTGM042	0	0	0		R230829-S075	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HeiQ-1-4000-V3-1-test8	黑曲霉|4000	合格	115416	0.14	未知	甲型流感病毒|报	2	1	滤	4000	'1/2	dTGM059	2	1	1	1.000;1.00	R230829-S075	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HeiQ-1-4000-V3-1-test8	黑曲霉|4000	合格	115416	0.14	未知	黑曲霉复合群|报	1648	1427	阳性	4000	'1/1	RTGM170	1648	1427	1	1.000;1.00	R230829-S075	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HeiQ-2-4000-V3-1-test8	黑曲霉|4000	合格	107277	0.13	未知	三叶草根瘤菌|报	572	533	内参	4000	'1/1	IC_RL2_2	572	533	1	0.987;1.00	R230829-S076	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HeiQ-2-4000-V3-1-test8	黑曲霉|4000	合格	107277	0.13	未知	鲍曼不动杆菌|报	18	16	滤	4000	'1/3	jTGM065	0	0	0		R230829-S076	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HeiQ-2-4000-V3-1-test8	黑曲霉|4000	合格	107277	0.13	未知	鲍曼不动杆菌|报	18	16	滤	4000	'1/3	nTGM001	0	0	0		R230829-S076	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HeiQ-2-4000-V3-1-test8	黑曲霉|4000	合格	107277	0.13	未知	鲍曼不动杆菌|报	18	16	滤	4000	'1/3	pTGM010	18	16	3.2	0.974;1.00	R230829-S076	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	HeiQ-2-4000-V3-1-test8	黑曲霉|4000	合格	107277	0.13	未知	黑曲霉复合群|报	493	459	阳性	4000	'1/1	RTGM170	493	459	1	1.000;1.00	R230829-S076	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	JHS-A1-10000-1-V3-1-test8	具核梭杆菌|10000	合格	126216	0.09	未知	三叶草根瘤菌|报	830	657	内参	10000	'1/1	IC_RL2_2	830	657	1	0.987;1.00	R230829-S109	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	JHS-A1-10000-1-V3-1-test8	具核梭杆菌|10000	合格	126216	0.09	未知	具核梭杆菌|报	3	2	滤	10000	'1/1	cTGM158	3	2	1	1.000;1.00	R230829-S109	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	JHS-A1-10000-2-V3-1-test8	具核梭杆菌|10000	合格	116502	0.07	未知	三叶草根瘤菌|报	869	745	内参	10000	'1/1	IC_RL2_2	869	745	1	0.987;1.00	R230829-S133	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	JHS-A1-10000-2-V3-1-test8	具核梭杆菌|10000	合格	116502	0.07	未知	具核梭杆菌|报	20	17	弱阳	10000	'1/1	cTGM158	20	17	1	0.987;1.00	R230829-S133	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	JHS-A2-10000-1-V3-1-test8	具核梭杆菌|10000	合格	112469	0.07	未知	三叶草根瘤菌|报	1414	1257	内参	10000	'1/1	IC_RL2_2	1414	1257	1	0.987;1.00	R230829-S110	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	JHS-A2-10000-1-V3-1-test8	具核梭杆菌|10000	合格	112469	0.07	未知	具核梭杆菌|报	8	7	滤	10000	'1/1	cTGM158	8	7	1	0.987;1.00	R230829-S110	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	JHS-A2-10000-1-V3-1-test8	具核梭杆菌|10000	合格	112469	0.07	未知	嗜麦芽窄食单胞菌|报	39	34	弱阳	10000	'1/2	RTGM164	39	34	2	1.000;1.00	R230829-S110	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	JHS-A2-10000-1-V3-1-test8	具核梭杆菌|10000	合格	112469	0.07	未知	嗜麦芽窄食单胞菌|报	39	34	弱阳	10000	'1/2	RTGM165	0	0	0		R230829-S110	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	JHS-A2-10000-1-V3-1-test8	具核梭杆菌|10000	合格	112469	0.07	未知	黄曲霉复合群|报	33	29	弱阳	10000	'1/1	RTGM032-1	33	29	1	1.000;1.00	R230829-S110	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	JHS-A2-10000-2-V3-1-test8	具核梭杆菌|10000	合格	107985	0.06	女性	三叶草根瘤菌|报	1461	1352	内参	10000	'1/1	IC_RL2_2	1461	1352	1	0.987;1.00	R230829-S134	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	JHS-A2-10000-2-V3-1-test8	具核梭杆菌|10000	合格	107985	0.06	女性	人内参ZFX|报	12	11	内参	10000	'1/1	gTGM008	12	11	1	1.000;1.00	R230829-S134	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	JHS-A2-10000-2-V3-1-test8	具核梭杆菌|10000	合格	107985	0.06	女性	具核梭杆菌|报	19	17	弱阳	10000	'1/1	cTGM158	19	17	1	0.987;1.00	R230829-S134	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-A1-5000-V3-1-test8	流感嗜血杆菌|5000	合格	120336	0.13	未知	三叶草根瘤菌|报	1025	851	内参	5000	'1/1	IC_RL2_2	1025	851	1	0.987;1.00	R230829-S089	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-A1-5000-V3-1-test8	流感嗜血杆菌|5000	合格	120336	0.13	未知	土曲霉复合群|报	208	172	弱阳	5000	'1/1	RTGM169	208	172	1	0.987;1.00	R230829-S089	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	LS-A1-5000-V3-1-test8	流感嗜血杆菌|5000	合格	120336	0.13	未知	流感嗜血杆菌|报	4126	3427	阳性	5000	'3/3	ITGM001	1610	1337	1.171	1.000;1.00	R230829-S089	test8	T1-230829_TPMN00204_0132_A000H5MMF3
